,clean_text
660,she’ corrupt means then why modi sarkar fails take leagal action
661,flawed promise just like theh promise don’ make country socialist socialists will run out money someone else lonely look venezuela the price coffee today there same price flat years back stick with modi period
662,"minimumguarantee
following modiji motive sabkasaathsabkavikas his scheme is4 every1 appeasemnt
2apprciatng modi jis initiative dbtd money wil transferrd dirctly2 accnt
3que why ppl shud vote4 can directly help poor
"
663,"reaction modis 4th pillar  modi wave
big loss for congress advantage bjp
congress shaken divided weak this how congress going fight election"
664,only nehru had put coffeetea vending machines all railway stations poor modi might not have been pushed this tears remembering his chaiwala days
665,"wrong analysis modis successor yogi
note park "
666,just absurd idea dont make people fool congress made the whole country compromise with ethics for years now giving lollypop for power are with modi
667,gandhis exploited the poor and looted india for years time kick them out the scamster family desperate since modi has stopped their loot
668,the spineless liberals here arent vocal about that doesnt mean such incidents dont exist they open their mouths only when something happens against minorities dragging modi into everything and playing victim card isnt fooling anyone not anymore 
669,the logic and valid reason with fact here that pappu had predecessor prime ministers india can afford cambridge but accept not modi self madeisnt lending fake dynasty claims also even after frm studying abroad still nowhere close modi
670,"narendra modi has only diversionary tactics distract voters from his failures — war which tried and failed and the other riots article the kaabaddi war balakot and thereafter
"
671,answer you think modis failure deliver promised employment will major issue 2019 election 
672,vote kar narendra modi appeals everyone during tweetstorm via namo app opposition needs less voter turnout what contrast☠️ 
673,modi where parents and kids being exploited maharashtra education deptt are silent this issue happening across maharashtra since past yrs
674,will work 100 rural india rahul gandhi giving tough time chor modi like assembly election 2018
675,least giving something modi gave jumla
676,dont edit the video show maximum anti modi stuff and delete pro modi stuff and then will claim see people are really unhappy with modi government this the way you work surprise all
677,"dear rahul
what new minimum income scheme 72000 6000 per month modi had already started rs6000 for poor farmers rahul from where are going arrange rs15 lac last govt was unable arrange funds for army"
678,promises times support poorest poor comparison similar scheme announced modi govt assuming 6000 family income poor family the central govt going augment another ₹ 6000 per month per poll promise given 
679,people trusted blindly modi 2014 that will bring quality life everyone instead gave jumlas and cheatedwho will believe him again except hardcore bhakts and sycophants
680, its ridiculous risk high value military assets after low value assets like temporary huts modi did even here messed flattened trees and killed crow instead
681,"lets assume said that much money there why had modi not been able bring back
why had not acted the black money list
why was not able bring any black money via demo
how did black money parked swiss bank rise under modi "
682,"why did chose such tongue twister his blog’ central character “compulsive contrarians” could have asked modi venky naidu they are expert word play few suggestions for jaitley you could pass ziddi piddi
akdu chidu
khunnasi kangressi "
683,ragul gives wrong information the nationonly the rule cong loans were given vijay malliah and nirav modimanmohan himself made recomendation for vijay malliah now modi does the job collecting the loans
684,dynasty politics congress paying its price modibjp took advantage congress situation rahul was still the making now rahul efficientstrong enough counter the modi rightist thinking
685,who pays for modis propaganda who pays for bank write offs who pays for npas you get worried only when poor people get something
686,thats inner belief and doesnt change every day and also answer youi wudnt believe modi wud have wished the stupid beggers their national day simple that
687,going give 72000 from his family wealth says they are two india ambani and others congratulations modi has created ambani five years congress slept for years and promises 72k ashamed that mock the citizens and poor
688,this idiot molvi said her parents are enemies own childrens conversion hindu girls into islam forcefully showing your dangerous mindset this your naya pakistan need expose each and every level 
689,saal ghar diya bijali road dawai toilet pani lpg led modi gave everything mother looted with mnrega fsb but moron comes and blabbers nonsense and presstitute ask how rather they will spread that gullible public falls for 
690,why are you propagating congress manifesto aren’ you supposed just report and ignore you would looked for something negative were some thing proposed 
691,even after this people does not vote for modi means they are worse than dog who betrays faith edurkumalayum tamil makkal modiku votu podulana kandiepaga nandri kata naigaldan 
692,what was the last election you won dont mess with sir since already health condition not good why unnecessary for brain twisting chowkidar for protecting master like pappu tdk mallaya nirav modi choksi
693,all these years they were supported the congi govts overtly well covertly now that the modi govt acting tough
694,they only know two things rafail and chowidhar other than this they cannot have any valid agenda counter modi 
695,some lame excuse swamy avoid joining the majority modi fans that why treated always unreliable personality leaders whichever party joins
696,minimum wage our modi agenda for those who work  moron rahul couldnt come with anything original haw 
697,now pets modi will start abusing rahul his mother grandmother and start sharing fake news and video about this scheme error cell precise
698,but answer modi just failure
699,game changer not everyone modi
700,leave himthey all modi addicted minimum class
701,crore poor people get 72000 per year what was that word again  
702,the whole country confused noe further compounded modipls decide the chowidar salesman
703,even rational thinking people and and some the most intelligent people believed modi 2014 people basically buyed all his lies fake image fake degree fake promises everything but not this time
704,thinks rahul because agree with modi congress neglect poor man ago years modi right 
705,announces minimum income guarantee proposing 12000 indias poorest people media ques where the money coming from itna paisa tou modi foreign trip newspaper advertisment band hone say bach jayega 
706,complaint done narendra modi app not resolve till yet complaint number pmopge20190147792 pls resolve 
707,babaji ा thulluu bloody 10bn dollars kahase laonge scam manarega kya karoge this way finish poverty inline next shame you rahul instead this something like modi skillindia make india and many others big ahame
708,team modi busy selling tshirts team bringing schemes like nyay uplift every poor family india this what ‘vikas’ should look like 
709,every indian who inculcating values like hard work merit honesty etc among children working like chowkidar and contributing towards change the society let all part this change along with narendra modi and say with pride via mynt
710,"just launched scheme for poor per what says the scheme for those who earn less than 12k per month the only way know that 12k deposit into bank account
who made bank accounts accessible poor linked them adhaar card prize for guessing modi"
711,just one question smarty pants what about modis lakh every account promise obviously either people ignore use abusive language because you dont have the guts answer blind bhakts are called blind for reason
712,"you have two choice instant pleasure long term gain
congress freebies modis structural reforms "
713,yeah but said modi killed cash demo
714,people like who once supported and had full faith modi are today abusing him openly and are sooo frustrated
715,please specificu dont want govtuwant modi govtthats what working for come clear least
716,thinks rahul because agree with modi congress neglect poor man ago years 
717,kuch seekha foreign university mein jhak maarne gye the bas isse acha modi strategies national aur international
718,can promise credit 72000 direct bank accounts because modi has opened bank accounts for poor families
719,showing support commie not surprising meena pillai known communist kerala university modi critic jnu scroll ganglook some her fav shame 
720,irony irony hear priyanka vadra speak the welfare the poor who hails from the family instrumental for indias poor remain poor all these years not modi who was born with silver spoon the gandhi parivaar
721,what are you crazy 
722,"first take some knowledge about haw run government whats the mean parliament dont want modi rahul
but also dont want shit like "
723,this fellow idiot accidental and ineligible for any public office like the rafale chor modi and his gharjamai junglee shah congress wins mistake pak will celebrate diwali vijay rupani ndtv 
724,modi make indians prosperous rahul make indians poor
725,this insane they call jumla and look the kind politics played poor for last years think about empowerment not all these freebies 
726,screw you axxhole modi never said that was the brain dead which attributed modi
727,morons think modi designs the website does the coding himself for the website bjp political party they dont run web designing supporters have only not bothered browse the bjp website till date why the hell are modi hating guys bothered about bjps website 
728,announces ₹ 360000 crore minimum scheme for poor families india poll promise this times bigger support scheme than the one announced modi govt pradhan mantri yojana
729,indira gandhi garibi hatao rajiv gandhi garibi hatao sonia gandhi garibi hatao rahul gandhi garibi hatao from indira time rahul only one slogan garibi hatao and doing nothing but honourable sir done alot work for poor society 
730,the rate which modi spending lot capital fund without kickbacks would useless become even get chance puppu
731,grabbing hidden stuff 
732,watch carefully thank modi 
733,for all opposition everything fake surgical strike fake bombing terrorist pakistan fake india went into bangladesh and destroyed terrorist camp and that too fake for modi haters for modi supporters nation first popitics nation jai hind
734,modi beast and when the beast out the cage not easy stop
735,"
atleast this govt trying hard went icj right time
tell what steps your govt took bring back was killed fellow pakistanis jail stop nonsense fool illitrate ppl not "
736,his great grandfather promised his grandma promised too his dad and mom too promised now the son also making promises finally ’ say “ask modi don’ ask ”  this unfortunately the truth the fake and the 
737,yes you bjp dont twist statement opposition like when rahul called modi chor modi was crying and told all chowkidars rahul calling you all chor
738,has offered 6000 per year selected household that too few days before elections rahul gandhi has offered rs6000 per month poorest households india under mig scheme unlike modi aim isnt fool people gain votes 
739,tax money should not cash poor tax money can used form schemes trust modi 
740,‘amethi rejected him’ smriti irani calls for rahul gandhi for south contest this lady has gone mad after power modi see sees nothing wrong bjpshahmodi she will loose amethi very badly this time corrupt lady misappropriated development fund
741,rahul for poor modi for rich what about the middle class 
742,sir big bjp modi supporter among those called sir can’ vote against won’ voting all this time because poor handling stupid leaders like mla surendra singh our party
743,this our commitment now poorest poor crore citizens our country will get ₹ 72000 per annum from may this our priority the other side modi jis priority friends who got loan waiver ₹315 lakh crore 
744,his statement shows his experience politicsthat large amount spend for minimum income poor peoplesthat burden will effect public onlythey are just diverting the peopleplease vote for modi
745,rahul gandhi unveils minimum income support scheme crore poor people get 72000 per year elections news the indian express called game changer  
746,next will modi pictures toilet rolls 
747,seriously what kind dumb request this just because you were tagged this doesnt mean you can ask entertain such request whether does its job perfectly not there system called place appeal 
748,modi has build his reputation doctorate fakeology questioning being anti modi doesnt make you anti national has failed all fronts bombing terrorists pakistan with what result lost jawans due failed intelligence period
749,years ago modi said lakhs wud given each indian said black money wud brought back did spoke acche din but destroyed the country spoke jobs gave fyi hitler modi the master ceo fraud schemes fake marketing
750,stwhy sambit patra matters beyond political debates now this idiot arrognat mannerless boot licker modi yes his only quality agent shameless modi defends every wrongdoings modi
751,this another big impossible jumla voters shud use their common sensethe farmers loan waiver still pendingneither modi had 15k give nor will the looter party ever will 
752,when modi gave 2000rs then wasnt disastrous idea when modi increased reservation from then wasnt disastrous idea for income tax paying class this time money will the poorest which really great idea
753,accept that this scheme foolish rahul and cong are desparate stop modi hence coming with such irresponsible schemes lack proper income data the one reason the following schemes mini income econ based reservation will fail
754,"you have seen every minute those family
where 100 people died poverty under modis regime killing people are dancing their graves and celebration black comedy"
755,sad see national carrier not private property modi guj 
756,dear one doubt have open new account same modi wala account you think indian are papus sorry have only one papu 1st complete your all promise which you done 
757,even modi said will give bring back black money and give lac each family 2014 
758,"modi govt has saved several thousands eliminating middlemen rahul gandhis new promise similar congress fake promise loan waiver
will create ghost accounts and pocket their party scoundrels"
759,when princess latifa was returned back modi that was protect strategic interests when hindu girls pakistan are forced into nikkah that too strategic protecting hinduism who will care for girlswomen sick this chauvinism and jingoism 
760,was modi promised lakhs all because was not sure victory 2014
761,only modi bhakts must voting for the flawed decision option
762,milestone hit blow the bjp campaign hate and fake nationalism hope its more than just election promise like modi did many 2014 
763,what have you say when the fuel prices have come down now modi sarkar that negotiated the payment for fuel rupee terms and have convinced permit buy oil from iran spite sanctions now has also been pegged lower level due rbi’ intervention
764,all those who are questioning the feasibility the minimum income guarantee scheme may please note that narendra modi could afford demonetization gdp drama can very well afford this scheme for the poorest the poor
765,agar kuchh kaam nahi kiya tab sab fati padi kyu hai why that everyone has started caring for the common and poor people the answer modi honestly working eradicate all these election issues that these vultures fed 
766,you could not understand because you are blind bhakt you chose modi instead congress thats why you are still unemployedyour boss says pakode talo tumlog usi layak
767,should start new trend asking about the failures current and previous govt where black money modi you cant blame others you are running the govt now 
768,mallya assets seized 12800 crores nirav modi assets 5100 crore mehul choksi assets 218 crore npa recovery till 2018 was 74000 crore while says has looted money from poor and given rich men such liar that 
769,modi sir didnt expect our internal scamgress terrorists support porkistani terrorists failed that
770,papu shamless creatures like one one can see this whole earth your party worker fight who takes modi name your always take name rss shame your poor mental act 
771,for change let the poor have some money have had enough our tax money being given adani and ambani and modi and who ever its time for the politicians really focus the poor
772,the master ceo fraud schemes hitler who fooled the nation with fake promises lakhs each indian where acche din destroyed indias economy resulting hitler modi shud electorally kicked out power
773,the people tripura all set punish congress upcoming polls for daring question the valor our armed forces and calling airstrikes not appropriate every booth tripura will give befitting reply them 
774,least truthful with yourself not with your profession rest world bark directly under modi bjp poor innocent pious minority muslims are not safe that hindu majority society india violent hindus attack peaceful muslims dont vote modi enuf
775,guys outside tnpl remember sumanth survive public media space tnu need take anti modi posture very few exceptions media completely highjacked anti modi groups poor sumanth needs survive earn money don’ expect any substance him
776,dont become again then ill question the credibility 600 crore indians modi
777,"whatever modi offer now will consider jumlasno trust left people started trusting rghe wont talk jumlas lies and fake mesmerize people
unlike modi man words well educated has feelings for every citizen india"
778,congress lying you bro modi doesnt hate muslims modi hates radical muslims modi asked mohd bin salman release million indian muslims saudi arabia who are jail they did not know arabian laws
779,you are trying say modi afraid vendetta charge the opposition 282 seat agar election time action lia dukhane badle press conference karni pad rahi kyu chune aisi majboor sarkar election time lage aaropo koi kyu sach manega
780,agree with you critical mind only the bjp idiots and modi peddlers will have problems with this survey
781,modi govtgiven 267000 rson poor pepole who buy new house 1st time
782,india will bankrupt such scheme implemented namo has done everything for poor people india all social welfare schemes are for poor people modi has addressed and implemented need based schemes for poor people without any loophole mediators agents through dbt
783,dirty tactics promote modis biopic just publicity gimick read more 
784,"even educated supporting this shocked don’ even support modi ’ 6000 and never support this bluff 72000
people india ready become nikhma and earn for nothing
instead raise the msp agricultural produces bring equality and earn for hard work"
785,"how low our modi fallen and his fucking asshole andhe bhakts need prime minister not chowkidar for india
itni chotti sochfuck off need our prime minister with big visionand our giving vision become chowkidar public anpad gawaar modi sarkar"
786,democracy india has been firmly established itselfif any narendra modi tries harm democracy india the people india will show him the door
787,modi bjp are helping fill the bank accounts corny capitalists the other hand congress party led rahul gandhi will deliver minimum income guarantee the poor depositing money their accounts 
788,modi government government the poor 
789,"where are heading
constitutional posts losing its sanctity
this not the only instance this trend dangerous need curbed should resign from the post "
790,ask modi about development education unemployment inflation 2019 ralies bet will not say even single word these issues
791,well barkha dutt has also blocked mei didnt use any bad language gesture against herbut maybe she saw picwhere she saw modiji front bhakto dar kar bhag rahe hain chamche saare kaho dilse chamcho jalane ayenge modi firse
792,modi sir thanks rahul agree with you agree congress neglect poor man ago years 
793,now let’ see what has modi done for poor and did not even use the slogan ‘garibi hatao’ 
794,what was shown dokhlam muscular response nehrus impotent approachus strategist and author michael pillsbury says that far indian prime minister narendra modi the only statesman the world who stood china this senate foreign relations subcommittee
795,sir you very well know which context modi and bjp using the term chowkidar why this unnecessary statement
796,its time for modi give humble walkover and leave for the himalayas
797,had got this dreamsmodi providing schemes for unleashing people self respectbut the contrary want poor just vote banku want them vote and sit idealwho taught idiot about economicshow finances work
798,how thinks about indian poor peoplethis announcement insult the poor people indiamodi already announced the all people will get their own housewhat modi should announce that whoever want money 72000 will get place paka house
799,after accused makers biopic wrongly crediting him for the film mns general secretary has demanded impose ban the starrer 
800,not just himevery non bjp candidate contesting against modi some where the other
801,"pts watch swamys
blind bhakts watch modi and jaitley
pokkris watch sri reddys audience for all three are different therefore pts views matter"
802,instead using their platform work against islamic threat hindus outside waste their time modi nris should networking with katie hopkins pamela geller robert spencer and 
803,congress had other options but follow modis jumla strategy
804,when they cant defeat modi issues they are making bengali non bengali bengal falls this trap again will keep lagging behind the rest india and will keep being waste bengal india waiting see how bengalis react this
805,modi can again promise lakh bringing black money back
806,"when were wondering the offered modi itself was too much this would surely game changer for the country not for the party
when the hell will ever come out freebees"
807,modi can lakh jhumla and become then not indian politicians going into drain where other politician gone before its all jugaad economics and jhumla promises all hail the lord rahul
808,love our election commission person prints vote for modi his marriage cards and gets notice from person sits front the media and lies through his teeth about absolutely impractical and economically devastating scheme but the wont nothing
809,this 100 doable and will done not like modi promise black money where black money modi found any why modi doesnt bring black money from swiss banks
810,"“ the last four years not even single legislative step has been taken the central govt protect the environment” ”every single law related environment being diluted which will make urban areas unliveable”
environment lawyer ritwick dutta
"
811,march 2014 was arrested police for his hate speech against narendra modi but still congress thali chatte batte
812,look the reaction liberals agar modi aisa kuch announce kiya hotathey would have gone mad now
813,"rahul elaborate scheme under minimum income program
garib hatao but gariboko hatao failed flop modi got several houses lakhsall over country giving ashraya poor people uplifting poor giving permanent shelter"
814,this called concern for the poor which modi bjp doesnt have the poor this country will get 72000 annually directly into their bank accounts 
815,modi biggest freeloader modi year failure gujrat year failure delhi and gujrat total years miserable performance power total years miserable existence contributing nothing tax coffers country 
816,highest order hope modi loses elections miserably and swami becomes india 
817,like gst are not going remove the bank accounts created under modi era btw who going fund this idiocy project 
818,well theyll cut the budget and arrange its the foremost step that need taken they cant back down after announcing todays scenario hope modi also comes with such plan for ultra poor 
819,its game over for narendra modi bjp and the cowdung bakths pack your bags modi 
820,"badla lenge iss baar
bharat har nobody can ignore this crore new voters believe that young millennial voters are angry frustrated and detetmined they will give tight slap modi raj
ाेशबचा "
821,make mistake being systematically destroyed help crony ajay singh who owns spicejet spice was taken from the marans and handed over ajay singh just few months after modi took office ajay singh had worked modis election campaign
822,need rahul gandhi bring back right wich went wrong modi govt 
823,the headless creatures chowkidar comments modi never promised will transfer lakh every citizen account never said about 2cr jobs per year 4some that types headless creature other educated youths india have had lagging behind
824,think need calculate the total drain the exchequer from 1947 till date only scams then the subsidy scams student scamno teacher scam mnrega scam total all this divide the population poor today lets arrive figure ask them put upb4 22519
825,also for comparison sake modi’ income support scheme announced the interim budget for small farmers supposed provide 6000 per year raga’ nyay income scheme supposed provide 6000 per month mechanics still worked out 
826,nirav modis firm camelot enterprises has approached bombay high court stop the auction paintings the income tax department was planning auction art pieces recover aproximately crore 
827,how about printing toilet papers also why leave anything unnoticed 
828,ask questions question dont make you patriot not its our right ask questions see tweet activity have asked questions modibjpgovernment for several times asking questions with little knowledge very idiotic
829,bhai for once your life you cant say something pakistan without bad mouthing modi shame your approach sardesai what country are you from
830,mallya assets seized 12800 crores nirav modi assets 5100 crore mehul choksi assets 218 crore npa recovery till 2018 was 74000 crore while says has looted money from poor and given rich men such liar that you are
831,any bjp candidate contesting elections waste bengal asking killed lawless india where the bjps central government has not read its religion particularly articles 256 and 356 cane see kerala karnataka tamilnadu etc 
832,rahul promises direct credit bank accounts poor now that modi got bank accounts opened for poor congress couldnt even get these bank accounts opened their years rule 
833,"media game❔❓
afraid modi❔❓
hungry over corruption ❔❓ "
834,modi have put anther crore people out job due demonetisation
835,slow cap for congress and rahul modi taking about improving skills and pappu still living dadis era
836,your suggestion not required because you are like dirty want live old india but want new india
837,the mass murderer has not responded sell merchandise after selling the soul the nation this the rss and sanghi nationality for you corrupt and sell out the core after 1947 betrayal suwarkar modi planning sell the nation
838,"“final assault”
meaning poor people existed before modi’ rule
1947 2014 who ruled the maximum time
why not then
why now “final assault” reply raga"
839,what has modi delivered nothing his team quiet other senior bjp leader will support endorse modi campaign 
840,yes modi has reduced the loan burden brought revenues through gst hoarded cash came out during demonetisation you retard wants promise everything under sun 
841,modi can give ₹350000cr indias richest then the same for indias poorest families even india spends its total income for the welfare poor its can done people may may not believe because modi promises made people immune promises
842,"before modi
interview dress formal skills knowledge
passed after modi interview dress formal skill knowledge fail reason where namo merchandise bhakt boss reason for unemployment namo merchandise buy merch before job lastt and dont apply"
843,who will pay for themwhy not better idea rather giving them job which modi already doing out this may only will come your trap vote you 
844,mean use like arnab goswami journalist thought was fearless guy who always confronts the wrong people and exposes them but sadly today has turned into modi bjp slave coz apparently his channel funded the bjp 
845,bad selfgoal desperation announced without thought promised keep fiscal discipline goals mind now modi will around saying raise lakh going abolish all poor schemes double middle class taxes
846,modi promised lakhs 2014 body questions him his betrayal why media channels keeping quiet they are afraid ask modi his fooling around the people
847,chaprasi sorry chaiwala sorry its changed chowkidar modi whatever promised the stars lakhs per citizen then womens safety but indian citizens got rs0 via then bleed india courtesy 
848,what the answer this really really have respond hope modi takes this 72k per year per family without any work man can imagine ndtv really going crazy with delight
849,insulting the choice bro you are doing the same for modis government and took india years all these things which 1usd ₹ went 1usd₹ hundred scams cwg scam remember nepotism response terrorist gdp rate the slowest hell yeah
850,modi who responsible for irresponsible statements failed realise that diplomacy the best way defuse tensions when diplomacy fails soldiers take over when soldiers fail terrorists take over never engaged pakistan any negotiation instead followed 
851,actually would have been but thanks jam and financial inclusion and dbt measures modi governmentif this called nyay scheme being implemented money will actually reach poor transparent manner but second your opinion not good for country
852,just read wannabe congresseconomistscientist sitting some remote place kerala saying modi can afford demonetization gdp drama rahulg can this for the poorest kya logic hai
853,changed the game domestic aviation forcing all airlines competitive even dowdy old indian airlines had its game survive great brand built over decades being run into the ground just benefit another modis friends 
854,the narrative set for 2019 the game changer the name changer where modi busy changing names schemes uplift himself announces scheme uplift the poor 
855,2019 election the election for those poor people this election destroy terrorism this election stop corruption and this agenda only solve under the supervision shri shri narendra modi give vote for development 
856,exactly dont chose modi who failed retaliate after pakistani jets attempted bomb indias military installations 
857,thank god least mixed achaar accepted that congresses afraid modi econgress ाुोरबदतरभा
858,modi open the account for poor people with balance and jumla lakh but congress has promised give them 72000 rupees per year
859,for every mulla modi failure nobody takes you mulla madrassa chaps seriously
860,modi fills the treasury and this comes empty any freebie scam
861,one side have indian nationalists and other side pakistan nationalists choice simple mei narendra damodardas modi eeshwar shaphath leta huu
862,let the poor become lazy well kudos  
863,don’ think amit shah will same advani mass support don’ think bjp will make this mistake again you need mass leader don’ see anyone other than modi atm 
864,those who support yrs ruler should introspect why they blindly supported those incapable who never worked for country they worked fill its own benefits its time support modi after coming out from blind support pseudo gandhis
865,modi want acknowledge every railway station india sells the backdated tickets the name backdated names with fake adhaar today know that why ticket for bihar sold fast please start new rule every ticket will booked adhaar card
866,his take simple defend modi usual and wil the congress that cant bla bla
867,crore poor people get 72000 per year rahul gandhi unveils scheme what the fuck unbelievable basically create more lazy loyal voters 
868,modi will not come down south his popularity south very low
869,narendra modi fake katha fuckeer get via 
870,idiot modi has wrecked economy how come guys promising 2019 shud have done 2014 guys could not implement loan waiver vdout scam forget about this scheme cant fool ppl all time gandhi dynasty circus over
871,even you cant deny congress took indias gdp big modi got india with gdp while congress 1950 got india with negative gdp took time build strong base and that why survived demonitisation during modi govt
872,this regime has rooted out every case but should careful his declaration lest this 72000 cong may not prove lakhs modibjp
873,this another feku and jhoot the italian family bcz under modi already everybody earning above 84000 annually india dey will only provide annual income less than 72000
874,sad say bharat not have equal laws for every citizen bharat can become muslim nation due such laws judgment this also part the gazwaehind
875,this garibi hatao version will certainly not help the disadvantaged poor will however spell the death knell for resurgent hence jobs growth the modi govt has done more for inclusive development than yrs family enterprise rule 
876,modi will back and after his second term you will not able find poor underprivileged ppl fool around with ppl will lead life dignity and not beg 
877,tamils youyour party are not the representative tamils mrsurya dont take advantage tamils always respect national leaders like vajpayee even from hindutva party but modi nope absolutely not joker wrong modi criminal
878,you mean say when modi failed create jobs right
879,narendra modi has taken tougher stand toward pakistan the past five years 
880,now will our socialist modi far behind 
881,want take out poor from poverty rahul gandhi 
882,modi knows the source funds that can used for his promise already calculated the amount needed number beneficiariesbut his rival has base calculationssources even how works out
883,"the way understanding can different
there can different prospective analyze
but hope wrong dont wanna see modi ruling india again"
884,workplace stay bedroom keyboard warriorand blame modi for your incompetent nature jay rahul baba 
885,when did modi said lakh stop spreading fake news
886,you hope make difference through bjp party which has nothing constructive for the youths the nation except the bolbachans the unemployment india under modis bjp alarming low last years 
887,well all know bought modi power for stable india all got crony capitalism polarised country fake promises poor ridden households know congress same both them are same
888,bullshit congressmen india controlled remote whose controller italian converted parsi claiming herself citizen the countrywhich only documents not her heart her name sonia ghandyif the hindusmuslimsetcwant goodthen vote only modi
889,today the licker modi will come with all unrealistic number claim that the scheme announced not possible come are educated person when did you start practicing voodoo
890,actually did biggest blunder what modi did biharnow its game donecause section middle class and youth actually dont want these type things
891,"inc president the last yearsthe poor people are the worst sufferers under modi regime minimum income plan poorest5crore families will get 72000year
such scheme not anywhere the world except india "
892,modi like that friend wholl ask you share his events but when the actors are slow ticket sales wont share their movies
893,congress that ruled india for years which promised 2004 give manmohan 10yrs will make india country one will poor now saying that will give ₹6000month poor family matlab yaar modi baap nikle chutiya banane 
894,crazy where money come from first his party ensures the people remain poor then proposes such idea which has not been implemented even overseas 
895,need educated prime minister who doesn’ hate minority and does blunders like demonetisation rahul would still better than lallu gawar modi
896,"
india used ranked 142 ease doing business 2014 then the modi govt took over the impact historic rise india now stands 77th rank again"
897,already have one his name narendra damodardas modi common man who came power with hard work alone india stands his side
898,"
then orop was still long pending but neglected demand today due modi govt orop reality our heroes have been respected and their rights have been honoured again"
899,did you got lakhs from modi whats wrong with you did rahul ruling from years did got chance even once
900,rubika filhaal swami kisi bhi mantri post nahi also citizen thats why say pradhan mantri aadesh denge dont confused
901,the governor was referring rumours about anger within the bjp over their aligarh candidate satish gautam some bjp workers even protested outside singhs home saturday 
902,art 370 35a violets our fundamental rights must scrape narendra modi government must assure the country for the equality people all kinds and types all respect yes its sad shame such laws
903,whatever say name changer game changer blah blah only say one word loud clear modi modi modi 
904,please vote for modibjplotus  and convince other
905,game changer name changer 
906,made modi the make this country hindu again failed next election ill the assure you sadia shah rukh khan will giving our daughter gauri back valentines day next year would saif amir 
907,"gas poor under ujwala scheme lack insurance poors special scheme for farmers uria availability farmers may consider this part payment poors
atleast modi have vision and idea achieve rahul baba just have foolish ideas vision"
908,bhakts cheered for lakh every indian lie modi but crib for 6000 every month the poor wah bhakt logic
909,"
then job seekers now job creators due modi govts mudra and startup india schemes again"
910,you mean just like modi jis lac each account 
911,all ambanis adanis mallayas parekhs gaurs etc have prospered congress culture and under congress supervision only your party showed them the corrupt practices modi govt one the transparent govt ever
912,modi never said ill give people 15lakhs stop bullshit and you have proof then show before talking
913,what about fake promises lakh employment womens safety and other fraud fake schemes the hitler modi suit boot sarkar harna hoga hitler modi hatao aur desh bachao bhagwan ram bhoomi hitler modi asli ravan jai shri ram
914,shahmodi deadly duo viciously got rid this bigot thrown into the dust bin like used condom 
915,pathetic clearly shows what has been done nation cong past decades yogi adityanathopposition parties offered biryani terrorists while modi govt fed them bullets yogi terms cong candidate ‘azharmasood’ soninlaw’ 
916,whosoever tries narendra modi rahul gandhi socialism will always fail mai likh deta 
917,means agreed that there’ job economy modi failed create them
918,heheheheheh that the problem with being bhakt and dallal once you start doing for one you have bhakti others welllook poor yourself till now only modi was worthy bhakti now you have bow down his maalik ambaniadani well
919,seriously wonder how much patience these newsreporters from have mean its not easy control anger whn announce such ₹12000m fake schemes infront you all 
920,modi worse this world uneducated tea maker
921,how possible that when they are still fighting each otherfueling internal conflicts each other undemocratic individually some very violent unforgiving huge gap almost everything this idea remain social media
922,india has achieved all round progress under modi now selling shirts and cups india now self sufficient country after modis yrs rule unemploymentno farmers suicideno back moneypetrol price less than economy bouncing leaps and bounds 
923,"this totally trying fool public again just for mere vote bank politics
omg they are ready any extent let narendra modi bjp not win why  "
924,the uninitiated ajay singh who bought spicejet from the marans 2014 the evil genius who supposed have coined the now notorious baar slogan modi always rewards his mitron 
925,now its abundantly clear was just mouthpiece for pappu not satisfied with making atrocious statements against modi bjp defence forces etc pappu gives scripts his pidis then distancing drama enacted this nomination remainds nothing moves without family approval
926,what wrong using fingersany way didnt you ever used fingers always were dependent carrots raddish gourd back hindutva modi does that also mean scum backs another anyway rss apna haath jagannath
927,sorry rahul vote for 2019 for modi only think nest for you 
928,explain modi lies false promises 2014 
929,talk about looting hypocrite modi took white money converted black gave trolls everone knows who else
930,who said modi chaiwala and doesnt get elected but can arrange some place sell his tea who critisized about smriti iranis background who made disgusting comments abt vasundhara raaje its eas spit others but you are spitting facing sky apparently
931,doing maximum ruining country for years now congress come with for votes when all lost for but sorry wont help congress help bjp from modis jumla sabka vikas 72000 
932,still modi bhakth wants fake promises
933,after long time modi govt fulfil the requirements our defence forces what you will say rahul 
934,"hahaha said the burden proofs lied and failed independant authorities released reports but empty headed indians believed modiwantedvotesand hide corruption rafales
almost had hinduism eliminatedfrom earth should thankful khan for deescillation"
935,they have implemented nrega which modi like feku bashed all the time yet giving budget every yearwhy dont you say your boto shut for falsely targeting congress over nrega
936,one thing show link video which shows modi calling press meet saying will put 15lac your account will rest case dont fool have seen all this selective understanding fools the past
937,common people should beneficiary and not ambani adanis are witnessing modi raj rahul gandhi unveils minimum income support scheme crore poor people get 72000 per year elections news the indian express via 
938,"electioneering india style
here idea wonder andrex would print toilet roll with bojos face  "
939,kotak bank also doing fraud but not updating cibil report inspite credit card closed this bank similar pnb bank nirav modi pls look into this uday you have assholes your bank you will also move out india 
940,people have already made their mind people india are going choose performance modi false promise rahul
941,"
through the vision work modi development becoming mass movement where instruments progress are reaching the poorest poor bjp standing for rights poor via namo app"
