,airline_sentiment,text
1481,0,united airlines you kidding bagage lost this morning from ny to washington and still no trace badservice
1482,0,united i did it took about an hour and a half though
1483,0,united why have you never held a plane for me hourdelay multipledooropeningandclosing dangerofgettingsnowedin
1484,0,united i did but i got nothing from it just dissapointment 
1485,0,united where is my fucking bag where the fuck is my fucking bag tell me now or give me a number to call a human san68059m
1486,2,united i was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other cancelled flightlations
1487,0,united madeit to the gate at 823 and they wouldnt let us on httptcoxatoxbnsfa
1488,0,united time to give up my 1k status and switch to delta  you are so terrible i cant even describe
1489,2,united thanks lol ua6259 will wait for us per flightaware same tail number as ua5525 
1490,0,united you suck flight delayed equipment probs again miss connection by 2 minutes and you wont let us on even though its at the gate
1491,0,united 1758 now going in 40 min waiting for other plane to vacate gate findanothergate
1492,0,united flight 2 is 230 hrs delayed so far bc of late flight crew now we are literally waiting while they have dinner acc to honest gate agent
1493,0,united many people on ua6318 are going to miss connections due to long wait time in sfo tarmac seriously u cant find an empty gate
1494,0,united youre trying to solve problem of your own making charging for checked luggage forces checking at gate brilliant
1495,0,united weve been waiting 45 min for a gate at sfo yet so many of them are free  your excellence in operational efficiency is showing
1496,0,united delayed due to customer service huh httptcoxltv5z6st1
1497,0,united what about the poor customer service at checkin at kansas kci thats it
1498,0,united except all of that delayed the flight anyway
1499,0,united maybe find a different gate ua1758
1500,0,united i sent a message its very irresponsible that my suitcase cannot be found this is truly worst service ever fedup disastrous
1501,0,united landed in den on time stuck waiting for gate for 30 min maybe an update would be a good idea capt
1502,0,united wanted to point out that not one united crew has been sympathetic questions unanswered mileageplus is starting to look like a joke
1503,0,united can we get an explanation on why ua978 from sao paulo to houston has been delayed now were hearing from crew about cancelled flightlations
1504,0,united why was flight 1180 ewr to mco cancelled flightled for tomorrow and what do i do to rebook asking for a relative
1505,1,united can you tell me jet airways award availability
1506,0,united i understand the intent was not to inconvenience but catching a cab back to the airport to show them wet clothes wasnt an option
1507,1,united what are the chances of my flight to ewr from pit being cancelled flighted tomorrow
1508,1,united baftz rcvd promo if i booked flight silver status would be extended it was not dont have flier that was sent didnt think id need
1509,0,united wife landed in dc 5hrs ago luggage did not was told it would b deliveredhotel by 8pm its now 10pm no luggage ua484
1510,1,united on a flight at 1130 tomorrow
1511,0,united not sure why the people in row 7 that paid for a premium seat cant use their overhead space httptcoi9s86kihge
1512,0,united is so cheap they couldnt afford to run the ac on ua1510 they took pressure cooker to a new level cheap worstairline
1513,0,united why is it that sundays when my husband travels to chicago hes stuck at tarmac amp misses connecting flight always
1514,0,united well i can tell you that your customer service at rdu airport is horrific but is exception at ohare in chicago
1515,0,united sitting on ual 683  a comedy of errors  ual is incompetent
1516,0,united on ua3785 tonight and told delayed due to late flight crew no idea where crew coming from your staff unhelpful any ideas
1517,0,united take a look at status of 683 sitting at ord  this aint cool yo
1518,2,united bummer but thank you for the quick response
1519,0,united i didnt have time to take my wet clothessuit back to the airport and wasnt going to pay for another cab to do so
1520,0,united didnt realize my bag contents were wet until i got to my hotel sent my suitshirts out to be dry cleaned mtgs start tomorrow
1521,0,united you load our plane at ord knowing pilots are 2 hrs late flight then discover plane needs to be fueled wtf united incompetent
1522,0,united resolved and im sick and tired of waiting on you i want my refund and id like to speak to someone about it
1523,0,united im really glad i just waited on the phone for over an hour to be sent to a voicemail your customer service sucks nothing has been
1524,0,united you just caused a riot on the airplane never seen anything like this
1525,0,united instead of sending inaccurate emails about delay every 5 min just say we will get you there when we get you there
1526,0,united so glad ive been waiting for 1 hour and 15 minutes and ive been transferred 3 times without resolving anything worst service ever
1527,0,united we still need help hung up on twice customer service rep said there is no way to help between the gate rep and phone rep
1528,2,united they let us know in advance of the reboot yes  thanks for the attentiveness
1529,0,united lol too little too late flight
1530,0,united yes bags came 1 hr after i arrived at baggage claim awful experience on the ground at bhm
1531,0,united fernheinig18 your delay is due to your own making we have now been back to the gate multiple times maybe take accountability
1532,0,united why do i have to give up my leg room so these 4 people not in my row can fill the bin  pls start charging httptco2ny5tuxfqf
1533,0,united please tell clt flight 4232 needs a gate waiting now for 15 mins
1534,0,united why did you load us in this flying sardine can if you knew the pilots were 2 hours late flight incompetent beyond belief
1535,1,united booked ewrfll in first for two on 38 lets see how you compare to the garbage americanair first class has become
1536,0,united your seats are god awful
1537,0,united good try but southwestair got her here safer and sooner
1538,2,united wanted to compliment ur phone agent jeanette for reflight booking problems rdu to sea thru sfo after connecting flight thru ewr was cancelled flightled
1539,0,united 3 hour 45 min delay so far would love to round to 4 hours to just go to bed
1540,1,united educate bohol is a 501c3 wall volunteer staff i can help the kids or buy a plane ticket i cant do both can you help
1541,1,united i need to get from albuquerque nm usa to cebu philippines im providing educational help for 800 kids can you help me
1542,0,united im on ua1118 and my direct tv isnt working  how do i avoid this in future
1543,0,united is truly the drunk uncle of boarding dont believe gate agent that overhead is full dont reserve aisle httptcocdzhtyd0ak
1544,0,united i sure will
1545,1,united on the plane i was thoughtful enough to ask for it and got it there are prob others that also deserved it
1546,0,united any options to cos tonight doesnt look like ua5525 will make it in time for ua6259 should i reserve a hotel room
1547,0,united appreciated but in this case we waited an extra 55 minutes for a lost mechanic to fax the log faxlike in the 80s
1548,1,united so to delta for coming in clutch and finally taking me home 
1549,0,united customer service sucks  they hang up after waiting an hour and talking for 5 minutes
1550,0,united jp  dm message who cant get a dm through to united
1551,0,united strikes again why board anyone if theres something wrong with the plane common sense
1552,0,united  thanks for the miserable trip gnvltltltfsd on 219221
1553,0,united missed ktm flight due to ur cancelled flightlation mike supervisor disgusting  now day late flight no apology or upgrade offer to lhr from ord
1554,1,united left my ipad on mcogtiad flight 174 how long to hear back once claim submitted ty
1555,2,united social media team is on point on oscarnight 
1556,0,united always happy to start my life with my new wife with a 5 hr travel delay due to maintenece and it would appear incompetence
1557,0,united is the airline of the oscars but doesnt carry abc on direct tv fail  now i cant watch the oscars united
1558,0,united this is it last time i fly unitedairlines  you screw up every trip now will be stuck in ord and miss work
1559,1,united didnt know that buying a seat in first class was just a request to sit in first class very interesting
1560,0,united i understand the intention but it pales in comparison to a day of lost wages for both my wife and i because of the delay
1561,0,united i need help with a missing bag
1562,0,united i was but i have given up
1563,1,united can i get on a stand by list from ase to ord im the only poor person in aspen thats why im asking for standby on twitter
1564,0,united you changed my entire flight plan for vacation and now i will be there alone a day and night early with nowhere to stay help
1565,0,united ua647 heading back to gate bc improper load if ur packing us to the gills should at least take care to load bags expecting comp
1566,0,united is the worst airlines sitting on the plane at  houstonbush airport now for an hour and a half waiting for late flight passengers
1567,0,united might possibly have the worst service on the planet
1568,0,united deceptive marketing practices promised me if i booked flights i would retain my status now they are not granting neverflyunited
1569,0,united hey so many time changes for ua 1534 we going tonight or what mia  ewr
1570,0,united and that it would be sent on the next flight to haydensteamboat hdn from denver so im hoping its on there
1571,0,united and pick it up and just bring it on the shuttle when i went to double check on that they said it was still on the concourse
1572,0,united i honestly couldnt tell you all i know is that originally we were going to have it brought in from the concourse
1573,0,united missing a day of vacation to see my husband because of this delay but stuff happens and i get that just wish it was handled better
1574,0,united ua1534 has now had 11 different departure times wtf make up your mind
1575,0,united thanks for making everyone wait in the dark for an hour while newark tries to figure out which gate to go to incompetence
1576,2,united thank you for following up
1577,2,united claudia in iah terminal b travel assistance has me all set great service thank you
1578,1,united is it possible to add a known traveler number to my ticket after flight booking problems
1579,0,united why doesnt my daughter booked with my gold member miles get on the upgrade list for her flight tomorrow
1580,1,united if an award is no longer showing available could it possible become available again
1581,1,united flight to dfw from iad cancelled flightled for mechanical can i get rental car to mdtmy origin
1582,1,united can you help me get from iah to sfo earlier tonight
1583,0,united was so on point for 56 of my flights this past week   but this last one really sucks shit
1584,0,united and here i thought american was bad horrible service over 230 min late flight no excuse
1585,0,united ua1565 iah gt sjo is delayed by like 15 hours crazy
1586,0,united i dont know my flight details bc i need to explore some options which im unable to do bc the site wont let meseems to be ongoing
1587,0,united how about free wifi when your flights delayed only 20 mins allowed
1588,1,united i did they told us the wrong carousel number
1589,1,united no thanks
1590,0,united cdglas 42 hours and my luggage is in sfo ive been wearing the same clothes for 42 hours thank you flythefriendlyskies
1591,0,united this airline is a joke my friends been trapped in houston since 7am sat and have no flight in sight unitedworstever trappedhouston
1592,0,united why do you hate your passengers
1593,0,united how can a plane that has been sitting in a hanger all day have numerous mechanical problems doesnt anyone actually do maintenance
1594,0,united in the future when delay causes 15 hour wait slept night in airport ensuring seating choice for replacement flight would be good
1595,0,united is my flight delayed it keeps changing between delayed and not if delayed is checkin time late flightr httptcontuix5dbyr
1596,0,united what a long day of delays please get us to dallas tonight  fingers crossed  winterstorm2015 whichisworsedenordfw
1597,0,united how is it that all my flight times were changed without any official notification almost missed my flight this morning not cool
1598,0,united they had record of it being at denver on the concourse prior to me gettin on the shuttle i just want to confirm its location
1599,1,united lax sunrise ual212 laxjfk
1600,1,united would be on the next flight to haydensteamboat
1601,0,united we needed to be at steamboat for a meeting by 3pm so we took a shuttle the united customer service people said the bag would be on
1602,0,united there is no good word for describing how angry and pissed off of a customer you have made me
1603,0,united late flight 2014 and 2015 are huge step towards decline in service and your agents not all are as arrogant as ever  unitedairlines
1604,2,united denver baggage handlers you totally impressed us today our lungs barely made the run to connect but our bags had no problem den
1605,0,united flight 3870 to newark stuck in the runway about to miss my connection and they are just sorry for my inconvenience
1606,0,united false
1607,0,united sitting on the runway in newark they wont let the plane to a gate my connection boards in 1 minute united hates us all
1608,2,united thanks it was my first time in a united lounge and felt welcomed
1609,0,united all other ana ticket holders get to use the lounge too but not us because united booked us grumpykim
1610,1,united good evening ua can you assist with an issue via dm
1611,0,united never had a flight delayed an hour due to an unbalanced load and more delays at flylaxairport great job idiots
1612,0,united 100  failure in 2015 unitedairlines
1613,2,united can cancelled flight my flight anytime if this is where they keep me for the night httptcoavrtowtyzk
1614,0,united you guys suck 2 12 delay to get out of ers and didnt even have curtesy to let me know  unitedairlines
1615,0,united unfortunately had a bad experience flying with you on saturday inpolite crew bad delays
1616,0,united seriously 45 min on the plane at bhm and now 30 min in baggage and still no bags worstairlineever
1617,2,united thanks for updating me about the 1 hour delay the exact second i got to atl 
1618,0,united but we are on all nippon now booked by united to replace the one we missed
1619,0,united what is this subtlety gate changes are you kidding with me
1620,0,united been good 15yr friendly skies relationship 2day agent told me im only canadian and thus not good enough for military preboard
1621,0,united yes was trying to upgrade my seat now there are no available spots
1622,0,"""united rikrik what made you come to this can we help you with anything jp"" inconvience"
1623,1,"""united rikrik what made you come to this can we help you with anything jp"" free tickets  for the i convince "
1624,0,"""united rikrik what made you come to this can we help you with anything jp"" the service just hasnt been great"
1625,0,united i think not im not flying you again if i can help it
1626,2,united resolved over hour of work on  ground amp somehow the system reset itself during takeoff i appreciate the quick responseservice
1627,0,united  always a fucken nightmare with your airline fail lazy alwayslate flight worstairlineever
1628,0,united we were told when we checked in as soon as we were allowed to that there are no other seats available on the plane except middle
1629,0,united everytime i fly ur airline i hate you even more  thanks for the terrible service on flight 1071
1630,0,united really was bumped down from gold status asked to pay  to keep it and get fewer miles how is that worth it
1631,0,united you always surprise me with the awfulness of your airline you guys suck worst
1632,0,united that i would get on early enough to not have to green tag but no go if not for otis i would be still sitting at ord
1633,2,united and to add to my earlier tweet this was my daughters 5th bday present thank you for the hard work and making it happen
1634,2,united you have a guy named otis at ord that knows what customerservice is he was able to get my bag to me i upgraded just to be sure
1635,0,united lpdstock tweet bots obviously dont get sarcasm making computers more and more like real people
1636,2,united you all do a wonderful job today got my wife daughter and myself from pgh to orlando after out flight was delayed luggage and all
1637,0,united customer service whats that
1638,0,united  overflight booking problems planes departing delayed returning for more quick fixes amp breaking out attitudycustomer service worstairline
1639,1,"united jeffsmisek robertfor39 fioretti2ndward garcia4chicago  
faa invest near miss on ohare runway last wkhttptcojvj73zza4a"
1640,0,united pay for a cab back to the airport to show baggage dept my wet shirts and suit is not a viable option 2nd time this has happened
1641,0,united thats what you have said for years you are losing customers
1642,1,united i am ua elite gold and have a ua chase pres plus credit card  how many eqms do i need to get platinum elite
1643,0,united once again your lack of customer centricity us astounding
1644,0,united now this httptcouygew2nosr
1645,0,united would be nice if staralliance partner tickets that dont provide full pqm credit are more obvious before purchase lost 1200 miles
1646,2,united nope even better there were 4 seats and due to wampb first to raise hands got to move up i wasnt fast enough
1647,0,united now maintenance issues with flight 5639 and more issues with passengers that will miss connections needing to get off
1648,2,united look at this beauty  dc10 united airlines  hope you like this beauty  httptcons1acfqcdq
1649,0,united seriously whats with the slow wifi on this flight if the speed was going to change for the worse then the price shouldnt go up
1650,0, united 5 hours 3 gates and 3 planes late flightr still not an update explanation or apology to be had worstairlineever unitedairlines
1651,0,united your gate attendant had some snobby remarks your customer service is like playing poker with my sisters kids
1652,0,united poor cabin luggage service on ua1266 to bos i was forced to check in even when there was empty space for bags in the overhead
1653,1,united when i click that link it wants my flight info i havent booked a flight yet i read you waive fees for military it this true
1654,0,united no we still have not heard anything from anyone at united or the erieairport
1655,0,united every time i search a flight your site logs me out and gives error message about to book on a different airline and cancelled flight my card
1656,0,united so the last seg of my flight from denver den to haydensteamboat hdn for 8am got cancelled flightled and i need help finding my luggage
1657,0,united 8 hours late flightr and im siting on another plane waiting to leave i think a credit is in order for this terrible service
1658,1,united ill let you know week after next when i do another coastcoast rt again
1659,0,united we waited 40 min for our bags after a 45 min flight nomorecheckedbags
1660,0,united now let there also pls be inflight live tv on ua469 denewr so i can watch the oscars 
1661,0,united  has cancelled flighted 1 arrival into shv tonight amp the 1st departure flight on mon feb 23rd check with your airline for flight status
1662,2,united it was such a lovely part of this long day  attendants on ua5168 most ua795 were beyond exceptional today givethoseladiesraise
1663,1,united 4 open seats in 1st class on ua 2065 way to honor your upgrade policy for freq flyers andor honor an employee with an upgrade
1664,2,united i trust you enough to put my coat in my checked bag
1665,0,united yes i have amp theyre unsure when it would comethis has never happened on any airline and my first time with united disappointed
1666,0,united of course but interesting how united doesnt seem to have a good sense on whats happening with flight
1667,0,united pushing five hours and my time is worth nothing to you reflight booking problems not an option unfortunately
1668,2,united finally made it to rep who solved my problem
1669,0,united you guys are complete ass
1670,2,united thanks gate agent extraordinaire seau fong for helping me get rebooked out of boise and hopefully home to nyc sometime tonight
1671,0,united why are your agents working so slowly to rebook people who are on ua1481 we have all wasted an entire day at stt
1672,2,united thank yall for being an amazing airline who knows how to treat their customers you guys rock
1673,1,united you friends flt from ase to denver is cancelled flightled for tomorrow  can you help with rebook
1674,0,united  plane came in with broken seat  rather than fix it they put a broken sign on it and separated me from my kids
1675,0,united worst flying experience ever and they tried to blame it on atc i watched them load bags for 30min after boarding 45min late flight
1676,1,united used to still do let you listen to flight radioi often didinteresting to me tcmparty ce3k 31daysofoscar
1677,2,united went to customer service kiosk and they were able to help out still thanks for following up
1678,0,united have you read your own same day travel change policy
1679,0,united your b737800w  literally the smallest seats i have ever have my dad got stuck in the tiny bathroom ad well disspointed premier1k
1680,1,united and we got zero vouchers for hotel or cab i expect some serious mileage credits
1681,2,united nope all set thx for checking
1682,1,united the plane
1683,0,united my flight was already cancelled flightled this morning because of a snow storm in denver and now im in dc waiting for a pilot to get on
1684,0,united still sucks i dont understand why you have two cust service agents for a long line at houston international b gate unitedsucks
1685,0,united the most frustrating flying experience one continuous i dunno what time you will leave today  dunno thats code for 
1686,2,united on 220 denver ap gate b91 destination santa fe agent ashley did an amazing job in the face of an angry traveler kudos
1687,0,united has an united flight ever been on time americanisbetter
1688,0,united id rather spend two days in the back seat of a volkswagen than two hours on your plane disgruntled whatacluster
1689,0,united my flight was supposed to depart to boston at 436 and now its departing at 630 due to issues with finding a pilot thanks a lot
1690,0,united i suppose your customers enjoy screaming toddlers then not my problem if someone complains
1691,0,united you could give me free flights for life and id still choose to purchase my tickets from a competitor
1692,0,united the first time i flew united was horrible thought i would give you a second chance there will not be a third disgruntled
1693,0,united flight from san fransico to jfk was evacuated why
1694,0,united 4994 out of jackson wyoming delayed by no pilots full toilets deplaned 2ndary to mechanical fail cancelled flightled flight pending
1695,0,united is by far the worst airline ive ever had the misfortune of flying with in all the 44 countries ive flown to its outrageous
1696,0,united  i want my bag off flight 1142 what do i do now
1697,0,united thanks for causing us to miss our connection and now a 6hour delay flydeltanexttime
1698,1,united i do not see where it talks about military baggage fees can you please guide me thanks
1699,0,united i hope you lose the next govt contract
1700,0,united lost my bags and there was a flight from chi to eri that landed over 15 hrs agoyet still have zero updates unitedairlinessux
1701,0,united i will just send my confirmation number when i get home safe and sound this is why i pay so expensive services to you
1702,0,united the bag is in a state that i didnt travel to and the airports dont fly to each other looks like itll never show
1703,0,united ridiculous i have to be refunded whenever i get at my final destination or not
1704,0,united stay more than 24h traveling ans sleeping on the airports floor
1705,0,united seriously   ua 806  delayed because of the copilot isnt here  for 15 hours and he is only flying from raleigh disappointing
1706,0,united seriously this is just complete bs
1707,0,united weve been waiting for over an hour for our luggage what gives
1708,0,united the costumer services here at denver intl airport is ridiculous bad
1709,0,united lied to my face at the gate about upgrades thanks badservice unitedsucks
1710,0,united i have proof that my situation now is due to company mistake
1711,0,united ouch not fair
1712,0,united is synonymous to with rude and cheap you really dont know how to value the customer
1713,0,united i have to go back home i have to use what the company has available but its unfair to stay more than 24 h traveling
1714,0,united if i miss the oscars ill never fly united again
1715,0,united is the stingiest airline nobody should model after them ptfo cheap bastards stingy
1716,0,united flight delayedagainevery time maintenance issues
1717,2,united i should be fine they automatically changed my connecting flight for me so i wouldnt miss it a work
1718,0,united yes a ride home would be perfect a fete one would assume possible after charging 1600 for a domestic flight ps we deplaned
1719,1,united ill be calling tomorrow
1720,0,united and i was denied an upgrade because of catering issues poorservice
1721,0,unitedexcited to barrel through the sky at 600mph on a 75 ton piece of metal operated by a company that cant get their tiny tvs to work
1722,0,united heard about the vouchermiles credit for cancelled flighting my international flight yesterday but i didnt get an email
1723,0,united maybe dont play the video about how your flights are outfitted w wifi on the flights where wifi isnt working
1724,0,united on line baggage system complete rubbish bag missing 2 days no meaningful information
1725,1,uniteddo you still have flat tire policy  shuttle broke down on way to ord  will probably miss the 425pm to clehelp please
1726,0,united thanks just was able to do it on the app myself still not customer service to be seen in yyz
1727,2,united thx off the response finally got through the 45 min wait and talked to someone
1728,0,united so unhelpful httptcovbfieo2qjc
1729,0,united i would take the 500 voucher you offered for miscounting the  of seats on your plane but that means i would have to fly you again
1730,0,united  3 of 6 first seats open on ua5097 no upgrades processed gate agents yyz said their too busy not cool httptco6kpyhcka9l
1731,0,united rayja9 flying to las vegas out of chicago flight is late flight and no announcement has been made
1732,0,united i believe it was cancelled flighted yesterday i guess goes back to no notification from united about cancelled flightlation
1733,0,united  in case youre reading this ua230 right now 7d so many oversized carryons taking up too much room enforce your rules
1734,0,united is an airline where you pay extra to get a better seat but by the time you board your overbooked flight theres no overhead space
1735,1,united okay just requested to follow
1736,2,united thx just dmd conf s mqxc64 amp mpwnc2 any help appreciated
1737,1,united make sure you take care of lsusoftball team amp lsuquinlanduhon team we are 160
1738,0,united delayed 7 hrs flight 5721 pitiad finally board the plane sit half hour amp crew is at their hrs limit amp we deplane unacceptable
1739,0,united stuck in yyz because staff took a break not happy 1k
1740,0,united personal device entertainment system is great but with app crashing every 1015 mins im glad its free for now
1741,0,united pls stop sending texts every 15mins saying my flight is delayed another 15minsits been 3hrs i usually defend u but this is lame
1742,0,united agent you should use the bathroom before boarding toilets onboard are full oh you can expected a strongly worded email funited
1743,0,united should hire extra customer service reps 50 minute wait time to ask one question i would rather just fly another airline thanks
1744,0,united united flight ua3774 after two delays just cancelled flightled no explanation amp no more flights to norfolk that arent booked renting a car
1745,0,united ill try it mileage programs have historically been a lifeline for us worldhungry travelers of moderate means
1746,0,united any way you can help me find a flight to las stuck in dia sat on plane 2 hrs now been waiting an hour for an update
1747,0,united 50 minute wait times to help with a cancelled flightled flight help a guy out
1748,0,united i was rebooked but had to take bus from portland maine to boston told united does not cover the charge
1749,1,united there is a sector whereby it says 0 in both bagsno bag allowance at all in international flight
1750,0,united you were doing so well until the phlsfo flight yesterday major miss unfriendly premier cabin crew baggage cluster at sfo
1751,0,united your baggage tracking system is worthless it tells me nothing about where the bag is much less what your plans are to get it to me
1752,0,united is offering to reroute my sfo flight to lax might be geography class time
1753,0,united thank you for letting me downmy luggage is still in denver but im in phl neveragain flyingwithus disappointed lostacustomer
1754,0,united can you get me on the delayed flight to ewr out of yyz at 1530 no customer service to be found in airport
1755,0,united flight ua3774 after two delays just cancelled flightled and no more flights to norfolk that arent booked renting a car
1756,0,united thanks for having no one to pilot my last two flights and all but stranding me in houston tonight  airlines are the absolute worst
1757,0,united so disgusted and disappointed with united airlines luggage policies and attitude toward musicians unacceptable
1758,0,united missing my amazing us bank work conference not ok  what do i do now
1759,0,united  frozen lines on flight not continuing due to passenger comfort not ok sat on the plane as long as a flight to vegas would 
1760,0,united my last call your customer service agent called me back as he was stuck on hold to air canada just hope hes booked me a flight
1761,0,united you left my bag in houston last night its freezing cold in memphis any idea on when i will see it off again tomorrow
1762,2,united this is why i fly southwestair  never have any issues
1763,0,united has terrible customer service amp doesnt feel the need to notify its customers when their flights are delayed
1764,0,united i have tried and you have failed still no wifi ever last row in the middle and i fly every week thanks for nothing
1765,2,united great flight into pvd smallest plane i have ever been on and smoothest landing ever
1766,0,united trying to check in for tomorrows flight website keeps timing out whats up
1767,0,united yes computer would allow me to get to san diego quick but customer service will not help  says cant rebook httptcokcvubuyexc
1768,0,united says we had a weather delay in yxe this morning the weather didnt affect any other airline ua6136 httptco4jdvk8tcqx
1769,1,united do you have bereavement discount on airfare as my grandfather just passed and need to attend his funeral this week
1770,0,united it was cancelled flightled none of the passengers were notified complete violation of travelers rights  aerocivilcol
1771,0,united thanks for ruined my vacation for having poorly maintained aircrafts that can't fly safely out of stt ua1481 cancelled flightledflight
1772,1,united in fact he received my boarding pass
1773,1,united lmuschel he is traveling with me on a sep reservation number f3kxb8
1774,0,"""unitedthats not something we like to hear hopefully our staff can resolve amp have you on your way asap ml""315 amp still not resolved"
1775,1,united you must follow me in order for me to send you a direct message if that is what you meant
1776,1,united i dont know what dm the confirmation number means
1777,0,united waiting for 3494 ewrord delayed 47 mins might miss 5491 ordywg at 6pm ct any room on 5644 ordywg in case i miss connex
1778,1,united what does dm the confirmation  mean
1779,0,united  well now finally on board hopefully we take off this time and quickly well over an hour delay
1780,0,united i missed my connection already then i missed the next flight they put me on  now im going to lax instead of hawaii  
1781,0,united reservation was made last july i want to know why i wasnt reseated this only happens on international itineraries
1782,0,united line full of worried customers and guy at desk says so sorry you will have to take care of your problems late flightr i dont have time
1783,0,"united 

there must be 100 people waiting in line for customer service at den to deal with flight cancelled flightations"
1784,0,united american never had my bags apparently united never switched them over had to go back to united baggage service
1785,0,united unacceptable 403 was 90 min late flight for a missing screw our flight to tucson left before we even landed
1786,0,united cmh gate staff a disaster3345 overbooked no volunteers no boarding 20 min late flight trying to figure out issue bringbackrealstaff
1787,0,united waiting half an hour for my checked bag at ewr amp that was priority disappointing usually you guys are good
1788,0,united are your earnings so low that checkin people have to also be on tarmac loading bags jan
1789,0,united thank you for dishonoring my upgrade and putting me in a seat i didnt want all while not even notifying me  great 1k service 
1790,0,united you guys are gay
1791,0,united the emailscalls over the past months about flight changes were helpful wish you would have sent them on the cancelled flightlation yesterday
1792,0,united  so they changed depart from 145 to 200pm amp it is now 140pm amp the capt just got off the plane to find a smoothie 2pm my ass
1793,2,united thanks so much  my passport was recovered
1794,0,united  thanks for nothing no atlanta lounge your ap says no sure nothing at terminal t httptcotfjfmsha2k
1795,1,united no thank you
1796,0,united  tick tock tick tock it is rapidly approaching the next dream departure of 145pm when is the next fantasy departure time
1797,0,united it would make my day if i could take a flight on your airline without any hiccups on your end train your employees to communicate
1798,0,united a baby shit its pants half way through my flight and it smelled like shit what are you going to do about this
1799,0,united you cause me to miss my flight telling me it already left when it had not no empathy from gate staff or crew no apology really
1800,0,united rescheduled my return flight from japan  uh why  trying to call unitedairlines customerservice  45 min wait  fun
1801,0,united is by far the worst airline ever 
1802,0,united no rebooked with american and united said theyd transfer our bags to them
1803,0,united i am appalled at your lack of communication during our awful journey on 221 ewr to bos 4 hr delays need to be explained better
1804,0,united im dming my info and no is assisting my flight home left before m first flight had even landed
1805,0,united boston is all self service swipe yr own boarding pass at gate most difficult tag your own bag not easy improvetheprocess
1806,1,united name correct on original confirmation but spelled wrong on checkin reminder first name and mi run together cause for concern
1807,0,united more people would catch their flights if your attendants had more help
1808,0,united no consistency denver agents say no standby with checked baggage citing faa your website policy says otherwise time2switch
1809,0,only 14 biz days 18 calendar to respond to my inquiry united   i hope your standards are universally adopted  badcustomerservice
1810,0,united thanks but why did this occur you guys had 3 hours extra to get my bag on due to your delay so thats 7 hours you had fail
1811,0,united so many delays todaywhats up with that hoping my 1226pm flight boards soon united premier1k
1812,0,united your website is fucked up now instead of a 416 flight i should've had yesterday it's 514 today thanks
1813,0,united called back and ive been on hold what is the issue i have a confirmation number and an email that shows how much ive paid
1814,0,united im not sure how you can help your flight experience is terrible planes are dirty and staff is rude start over perhaps
1815,0,united check in and its still saying i havent paid ive called back twice was on hold for 30 minutes then they answered and hung up i
1816,0,united hold for 30 minutes finally got someone and they retook my form of payment and confirmed that my reservation was set i tried to
1817,1,united welcome to our world thats a snow world today goosebayairport goose bay labrador canada httptco4ki6xr67nk
1818,0,united i bought a ticket yesterday and received a confirmation tried to check in and they said i hadnt paid for it so i called was on
1819,0,united delayed because of salt on the floor from previous passengers the 180 of just just want to fly dont care about our shoes ua649
1820,0,united czamkoff its all about profit and they dont really give a damn about paying customers greed
1821,0,united i unfortunately didnt get her name  she was not nice
1822,0,united  what did you do with my seat international connection seriously
1823,2,united thanks just got on a couple of minutes ago great service on flight 479 btw please pass it to the team on that flight
1824,0,united my bag is lost and i cant get ahold of anyone that can help
1825,0,united then you delete my return ticket to europe and blame me for the now show this airline is a joke 3 times this happened now3 times
1826,0,united when my united flight arrives late flight and im told to rebook my connecting united flight you characterize that as a no show
1827,2,united your agents and service on my weekend trip have been amazing thank you
1828,0,united never flying united again worst experience ever
1829,0,united tiffanyandco ntrustopen ah so thats where the funds to fix the broken plane upon which i sat for 4 hrs on iah runway went
1830,1,united tried that cannot figure out where to go to get it
1831,0,united cannot direct message you you do not follow us i want my luggage  please hep
1832,1,united did you get your 757 model
1833,0,united flight 5903 stranded on tarmac in chicago no gates available plane getting very hot and uncomfortable
1834,0,united we rebooked and disappointed we have to wait a whole day to start our vacation at these fares united should have top notch service
1835,0,united direct messages not going through please help
1836,1,united why not charge for 2nd carryon instead of checked bag less jockeying for overhead space happier passengers more ontime departures
1837,0,united adding reservation to ios app doesnt show up on desktop site when logged in and miles cant be redeemed for upgrades thru your app
1838,0,united i assume that would be for the other 300 people who have been let down by united whats worse is plane is here but crew cant fly
1839,0,united   pushing 2 hours on hold priceless httptcoths10ldy2a
1840,2,united will do just need to get cvg and my bag too thanks
1841,0,united read the thread i booked 1st class  now seated at 38e even though united twtr account confirmed eco premium
1842,0,united hi there bag id is ua6016053916 can you update me and explain why is occurred when i arrived 4 hours before flight
1843,1,united doesnt purchasing ticket with a united card give me priority boarding 
1844,0,united hi yes need a free hotel stay in honalulu due to 4 hour delayua53 since we will miss our second flight to kauai
1845,0,united so whats the solution
1846,0,united is screwing with my flights again at cae why do you bother having flights here if they never leave on time or get cancelled flighted
1847,0,united no i need you to have more than 2 agents at check in
1848,0,united so this did not work out at all incredibly unfriendly ground staff and false promises over twitter theairhelper
1849,2,united we got it thanks
1850,0,united the so below skilled staff and inadequate system just deleted my return from houston to norway shoulder shrugging is all you do
1851,2,united this is probably the least dependable airline in the western hemisphere united does not belong in star alliance but skyteam
1852,0,united severely under staffed at iah
